Clube ID,Media Pontos por Jogo,Media Pontos por Jogo Casa,Media Pontos por Jogo Fora,Total Pontos Casa,Total Pontos Fora
PAL,2.1785714285714284,2.3333333333333335,2.0,35,26
FLA,2.1785714285714284,2.3333333333333335,2.0,35,26
CRU,1.9310344827586208,2.3333333333333335,1.5,35,21
MIR,1.793103448275862,2.3333333333333335,1.2142857142857142,35,17
BOT,1.5862068965517242,1.7857142857142858,1.4,25,21
BAH,1.6428571428571428,2.357142857142857,0.9285714285714286,33,13
FLU,1.4642857142857142,2.1538461538461537,0.8666666666666667,28,13
VAS,1.3448275862068966,1.6666666666666667,1.0,25,14
SAO,1.3103448275862069,1.7142857142857142,0.9333333333333333,24,14
RBB,1.2413793103448276,1.5714285714285714,0.9333333333333333,22,14
COR,1.2413793103448276,1.5714285714285714,0.9333333333333333,22,14
GRE,1.2413793103448276,1.6428571428571428,0.8666666666666667,23,13
CEA,1.25,1.5,1.0,21,14
INT,1.25,1.6,0.8461538461538461,24,11
CAM,1.1785714285714286,1.8461538461538463,0.6,24,9
SAN,1.1071428571428572,1.3571428571428572,0.8571428571428571,19,12
VIT,1.0689655172413792,1.6428571428571428,0.5333333333333333,23,8
JUV,0.896551724137931,1.4,0.35714285714285715,21,5
FOR,0.8571428571428571,1.1333333333333333,0.5384615384615384,17,7
SPT,0.6071428571428571,0.7692307692307693,0.4666666666666667,10,7
