Clube ID,Jogos,Pontos,Gols Marcados,Gols Sofridos,SG Total,Peso Casa,Peso Fora
FLA,28,61,56.0,15.0,41.0,204.2,153.39999999999998
PAL,28,61,53.0,26.0,27.0,187.8,141.4
CRU,29,56,42.0,21.0,21.0,149.4,110.2
MIR,29,52,50.0,30.0,20.0,150.2,104.8
BOT,29,46,39.0,26.0,13.0,151.2,113.6
BAH,28,46,39.0,32.0,7.0,159.4,102.80000000000001
FLU,28,41,35.0,35.0,0.0,140.6,92.4
VAS,29,39,46.0,41.0,5.0,136.4,96.6
SAO,29,38,31.0,33.0,-2.0,124.6,83.19999999999999
COR,29,36,31.0,35.0,-4.0,134.4,90.2
RBB,29,36,34.0,44.0,-10.0,120.0,81.0
GRE,29,36,30.0,37.0,-7.0,110.39999999999999,72.39999999999999
CEA,28,35,27.0,27.0,0.0,99.6,67.4
INT,28,35,35.0,41.0,-6.0,136.8,86.6
CAM,28,33,26.0,32.0,-6.0,127.0,74.39999999999999
VIT,29,31,27.0,43.0,-16.0,110.39999999999999,62.0
SAN,28,31,28.0,40.0,-12.0,102.19999999999999,63.599999999999994
JUV,29,26,23.0,53.0,-30.0,94.0,45.0
FOR,28,24,26.0,44.0,-18.0,91.80000000000001,53.4
SPT,28,17,21.0,44.0,-23.0,73.0,42.199999999999996
